0: JPT.DTableType.DTABLE_UNKNOWN
5: JPT.DTableType.DTABLE_BODY
3: JPT.DTableType.DTABLE_SHAPE
7: JPT.DTableType.DTABLE_NODE
8: JPT.DTableType.DTABLE_ELEM
15: JPT.DTableType.DTABLE_LOCAL_SETTING
16: JPT.DTableType.DTABLE_MATERIAL
18: JPT.DTableType.DTABLE_COORDINATE
19: JPT.DTableType.DTABLE_LOADCASE
20: JPT.DTableType.DTABLE_LBC_START
55: JPT.DTableType.DTABLE_LBC_END
56: JPT.DTableType.DTABLE_FIELD_DATA
59: JPT.DTableType.DTABLE_GROUP
61: JPT.DTableType.DTABLE_PROPERTY
63: JPT.DTableType.DTABLE_CONNECTION
64: JPT.DTableType.DTABLE_CONTACT
67: JPT.DTableType.DTABLE_ADVCPROCESS
68: JPT.DTableType.DTABLE_ADVCJOB
69: JPT.DTableType.DTABLE_ABAQSTEPS
70: JPT.DTableType.DTABLE_ABAQUSJOB
71: JPT.DTableType.DTABLE_ANSYSJOB
72: JPT.DTableType.DTABLE_NASTRANJOB
73: JPT.DTableType.DTABLE_DYNAMISJOB
75: JPT.DTableType.DTABLE_ACTRANJOB
76: JPT.DTableType.DTABLE_LSDYNAJOB
58: JPT.DTableType.DTABLE_SUP_GROUP
60: JPT.DTableType.DTABLE_ELEMEDGE_GROUP
62: JPT.DTableType.DTABLE_SECTION
65: JPT.DTableType.DTABLE_CUSTOM_ATTRIBUTE
84: JPT.DTableType.DTABLE_USER_PROPERTY
86: JPT.DTableType.DTABLE_POSTJOB
87: JPT.DTableType.DTABLE_USER_RESULT
79: JPT.DTableType.DTABLE_LBC_DOFSET
96: JPT.DTableType.DTABLE_POST_NODE
97: JPT.DTableType.DTABLE_POST_ELEM
130: JPT.DTableType.DTABLE_POST_SURFACE_DISTANCE
154: JPT.DTableType.DTABLE_CUSTOM_NOTE
155: JPT.DTableType.DTABLE_CUSTOM_NOTE_COLLECTION
160: JPT.DTableType.DTABLE_MEASURE_NOTE
161: JPT.DTableType.DTABLE_MEASURE_NOTE_COLLECTION
