0: JPT.ElemType.ELEMTYPE_UNKNOWN
1: JPT.ElemType.ELEMTYPE_POINT
2: JPT.ElemType.ELEMTYPE_LINE2
3: JPT.ElemType.ELEMTYPE_LINE3
4: JPT.ElemType.ELEMTYPE_TRI3
5: JPT.ElemType.ELEMTYPE_TRI6
6: JPT.ElemType.ELEMTYPE_QUAD4
7: JPT.ElemType.ELEMTYPE_QUAD8
8: JPT.ElemType.ELEMTYPE_TET4
9: JPT.ElemType.ELEMTYPE_TET10
10: JPT.ElemType.ELEMTYPE_HEX8
11: JPT.ElemType.ELEMTYPE_HEX20
12: JPT.ElemType.ELEMTYPE_PRISM6
13: JPT.ElemType.ELEMTYPE_PRISM15
14: JPT.ElemType.ELEMTYPE_PYRAMID5
15: JPT.ElemType.ELEMTYPE_PYRAMID13
16: JPT.ElemType.ELEMTYPE_PLOT
17: JPT.ElemType.ELEMTYPE_QUAD6
18: JPT.ElemType.ELEMTYPE_QUAD9
19: JPT.ElemType.ELEMTYPE_PRISM12
20: JPT.ElemType.ELEMTYPE_HEX18
21: JPT.ElemType.ELEMTYPE_RBE
22: JPT.ElemType.ELEMTYPE_MASS
23: JPT.ElemType.ELEMTYPE_VIRTUAL
