0: JPT.EntityType.UNKNOWN
1: JPT.EntityType.PROJECT
2: JPT.EntityType.INST
3: JPT.EntityType.BODY
4: JPT.EntityType.VERTEX
5: JPT.EntityType.EDGE
6: JPT.EntityType.FACE
7: JPT.EntityType.SOLID
8: JPT.EntityType.SHAPELINK
9: JPT.EntityType.BODYLINK
10: JPT.EntityType.NODE
11: JPT.EntityType.ELEM
12: JPT.EntityType.REF_BODY
13: JPT.EntityType.REF_VERTEX
14: JPT.EntityType.REF_EDGE
15: JPT.EntityType.REF_FACE
16: JPT.EntityType.REF_SOLID
17: JPT.EntityType.REF_SHAPELINK
18: JPT.EntityType.REF_BODYLINK
19: JPT.EntityType.REF_NODE
20: JPT.EntityType.REF_ELEM
21: JPT.EntityType.LOCAL_SETTING
22: JPT.EntityType.MATERIAL
23: JPT.EntityType.ENTITY_ATTR_CAD_INFO
24: JPT.EntityType.FEM_FIELD_SCALAR
25: JPT.EntityType.FEM_FIELD_VECTOR
26: JPT.EntityType.FEM_FIELD_TENSOR
27: JPT.EntityType.COORD
28: JPT.EntityType.LOADCASE
29: JPT.EntityType.LBC_FORCE
30: JPT.EntityType.LBC_FORCE_ND
31: JPT.EntityType.LBC_FORCE_QUADRATIC
32: JPT.EntityType.LBC_FORCE_SINE
33: JPT.EntityType.LBC_FORCE_VECTOR
34: JPT.EntityType.LBC_NOLIN1
35: JPT.EntityType.LBC_NOLIN3
36: JPT.EntityType.LBC_NOLIN4
37: JPT.EntityType.LBC_CONSTRAINT
38: JPT.EntityType.LBC_ENFORCED_DISP
39: JPT.EntityType.LBC_GRAVITY
40: JPT.EntityType.LBC_G_PRESSURE
41: JPT.EntityType.LBC_H_PRESSURE
42: JPT.EntityType.LBC_T_PRESSURE
43: JPT.EntityType.LBC_PRESSURE_QUADRATIC
44: JPT.EntityType.LBC_PRESSURE_SINE
45: JPT.EntityType.LBC_T_CENTRIFUGAL_FORCE
46: JPT.EntityType.LBC_CS_CENTRIFUGAL_FORCE
47: JPT.EntityType.LBC_TEMP_INI
48: JPT.EntityType.LBC_TEMP_LOAD
49: JPT.EntityType.LBC_TEMP_LOAD_GENERAL
50: JPT.EntityType.LBC_TEMP_LOAD_ADVC_FILE
51: JPT.EntityType.LBC_TEMP_LOAD_NASTRAN
52: JPT.EntityType.LBC_TEMP_LOAD_ADVC_RESULT_REFERENCE
53: JPT.EntityType.LBC_TEMP_BOUNDARY
54: JPT.EntityType.LBC_CONCENTRATE_FLUX
55: JPT.EntityType.LBC_SURFACE_FLUX
56: JPT.EntityType.LBC_THERMAL_CONVECTION
57: JPT.EntityType.LBC_ENFORCED_VELOCITY
58: JPT.EntityType.LBC_ENFORCED_ACCELERATION
59: JPT.EntityType.LBC_DYNAMIC_INITIAL_CONDITION
60: JPT.EntityType.LBC_CONTACT_CLEARANCE
61: JPT.EntityType.LBC_MAPPING_PRESSURE
62: JPT.EntityType.LBC_MAPPING_FORCE
63: JPT.EntityType.LBC_MAPPING_TEMP_LOAD
174: JPT.EntityType.LBC_MAPPING_TEMP_INIT
64: JPT.EntityType.LBC_MAPPING_TEMP_BOUNDARY
65: JPT.EntityType.LBC_MAPPING_THERMAL_CONVECTION
66: JPT.EntityType.LBC_INITSTRESS_GENERAL
67: JPT.EntityType.LBC_INITSTRESS_MAPPING
68: JPT.EntityType.LBC_PRETENSION
69: JPT.EntityType.LBC_PRETENSION_ABAQUS
70: JPT.EntityType.LBC_SURFACE_LOADS
71: JPT.EntityType.LBC_SUBMODEL_FORCED_DISP
72: JPT.EntityType.LBC_SUBMODEL_FORCED_TEMP
73: JPT.EntityType.LBC_SUBMODEL_FORCED_FLUX
74: JPT.EntityType.LBC_INSIDE_HEAT_GENERATION
75: JPT.EntityType.LBC_RIGIDWALL
76: JPT.EntityType.LBC_INIT_ANGULAR_VEL_ABAQUS
77: JPT.EntityType.LBC_WELD
78: JPT.EntityType.SUP_GROUP
79: JPT.EntityType.GROUP
80: JPT.EntityType.ELEMEDGE_GROUP
81: JPT.EntityType.FIELD_DATA
82: JPT.EntityType.PROPERTY_0D_MASS
83: JPT.EntityType.PROPERTY_1D_BAR
84: JPT.EntityType.PROPERTY_1D_BEAM
85: JPT.EntityType.PROPERTY_1D_ROD
86: JPT.EntityType.PROPERTY_1D_PLOT
87: JPT.EntityType.PROPERTY_2D_SHELL
88: JPT.EntityType.PROPERTY_2D_COMPOSITE_SHELL
89: JPT.EntityType.PROPERTY_3D_SOLID
90: JPT.EntityType.PROPERTY_3D_GASKET
91: JPT.EntityType.PROPERTY_3D_COHESIVE
92: JPT.EntityType.PROPERTY_3D_WELDBEAD
93: JPT.EntityType.SECTION_GENERAL
94: JPT.EntityType.SECTION_LIBRARY
95: JPT.EntityType.SECTION_SKETCHER
96: JPT.EntityType.CONNECT_MPC
97: JPT.EntityType.CONNECT_SPRING
98: JPT.EntityType.CONNECT_RBE2
99: JPT.EntityType.CONNECT_CONM
100: JPT.EntityType.CONNECT_PROD
101: JPT.EntityType.CONNECT_RBAR
102: JPT.EntityType.CONNECT_RBE3
103: JPT.EntityType.CONNECT_BUSH
104: JPT.EntityType.CONNECT_MOMENT
105: JPT.EntityType.CONNECT_WELD
106: JPT.EntityType.CONNECT_DAMPER
107: JPT.EntityType.CONNECT_CONNECTOR
108: JPT.EntityType.CONTACT_ADVC
109: JPT.EntityType.CONTACT_NXNASTRAN
110: JPT.EntityType.CONTACT_MSCNASTRAN
111: JPT.EntityType.CONTACT_ABAQUS
112: JPT.EntityType.CONTACT_ANSYS
113: JPT.EntityType.CONTACT
114: JPT.EntityType.CUSTOM_ATTR_STRING
115: JPT.EntityType.CUSTOM_ATTR_VECTOR
116: JPT.EntityType.CUSTOM_ATTR_DOUBLE
117: JPT.EntityType.DCS
118: JPT.EntityType.ADVCPROCESS
119: JPT.EntityType.ADVCPROCESS_STATIC
120: JPT.EntityType.ADVCPROCESS_DYNAMIC
121: JPT.EntityType.ADVCPROCESS_EIGEN
122: JPT.EntityType.ADVCPROCESS_CREEP
123: JPT.EntityType.ADVCPROCESS_DYNAMIC_EXPLICIT
124: JPT.EntityType.ADVCPROCESS_FATIGUE
125: JPT.EntityType.ADVCPROCESS_MODAL_FREQ_RESP
126: JPT.EntityType.ADVCPROCESS_RESP_SPEC
127: JPT.EntityType.ADVCPROCESS_RAND_RESP
128: JPT.EntityType.ADVCPROCESS_SSH
129: JPT.EntityType.ADVCPROCESS_TH
130: JPT.EntityType.ADVCJOB
131: JPT.EntityType.ABAQSTEPS
132: JPT.EntityType.ABAQSTEPS_STRUCT
133: JPT.EntityType.ABAQSTEPS_THERMAL
134: JPT.EntityType.ABAQSTEPS_STRUCT_STATIC
135: JPT.EntityType.ABAQSTEPS_STRUCT_FREQUENCY
136: JPT.EntityType.ABAQSTEPS_STRUCT_COUPLEDTD
137: JPT.EntityType.ABAQSTEPS_STRUCT_DYNAMIC
138: JPT.EntityType.ABAQSTEPS_STRUCT_DYNAMIC_COUPLEDTD
139: JPT.EntityType.ABAQSTEPS_STRUCT_DYNAMIC_EXPLICIT
140: JPT.EntityType.ABAQSTEPS_STRUCT_STATICRISK
141: JPT.EntityType.ABAQSTEPS_THERMAL_SS
142: JPT.EntityType.ABAQSTEPS_THERMAL_TRANSIENT
143: JPT.EntityType.ABAQUSJOB
144: JPT.EntityType.LBC_MAPPING_HEATFLUX
145: JPT.EntityType.CONNECT_GAP
146: JPT.EntityType.ANSYSJOB
147: JPT.EntityType.NASTRANJOB
148: JPT.EntityType.DYANAMISJOB
149: JPT.EntityType.WELDORDER
150: JPT.EntityType.ATTRIBUTE_FXWELD
151: JPT.EntityType.ACTRANJOB
152: JPT.EntityType.LSDYNAJOB
153: JPT.EntityType.NCS
154: JPT.EntityType.ATTRIBUTE_PS_BLENDSURFACE
155: JPT.EntityType.LBC_DOFSET
156: JPT.EntityType.BEAM_PROP_ATTR
157: JPT.EntityType.BEAM_PROP_ATTR2
158: JPT.EntityType.SHELL_PROP_ATTR
159: JPT.EntityType.CONN_PROP_ATTR
160: JPT.EntityType.LBC_PRETENSION_NXN
161: JPT.EntityType.LBC_MAPPING_TEMP_MARINE_ENGINE
162: JPT.EntityType.USER_PROP
163: JPT.EntityType.CONNECTION_ELEMENT
164: JPT.EntityType.CONTACT_TSSS
165: JPT.EntityType.LBC_MAPPING_FORCEDDISPLACEMENT
166: JPT.EntityType.LBC_MAPPING_FORCED_TEMP
167: JPT.EntityType.NASTRAN_POSTJOB
168: JPT.EntityType.ADVC2_POSTJOB
182: JPT.EntityType.POST_NODE
183: JPT.EntityType.POST_ELEM
184: JPT.EntityType.END
