0: JPT.SelectMethodType.SELMTD_NONE
1: JPT.SelectMethodType.SELMTD_BODY
2: JPT.SelectMethodType.SELMTD_BAR_BODY
3: JPT.SelectMethodType.SELMTD_FACE
4: JPT.SelectMethodType.SELMTD_EDGE
5: JPT.SelectMethodType.SELMTD_VERTEX
6: JPT.SelectMethodType.SELMTD_SOLIDELEM
7: JPT.SelectMethodType.SELMTD_ELEM
8: JPT.SelectMethodType.SELMTD_ELEM1D
9: JPT.SelectMethodType.SELMTD_ELEM_EDGE
10: JPT.SelectMethodType.SELMTD_NODE
11: JPT.SelectMethodType.SELMTD_CONDITION
12: JPT.SelectMethodType.SELMTD_COORDINATE
13: JPT.SelectMethodType.SELMTD_GROUP
14: JPT.SelectMethodType.SELMTD_PROPERTY
15: JPT.SelectMethodType.SELMTD_FACE_POINT
16: JPT.SelectMethodType.SELMTD_EDGE_POINT
17: JPT.SelectMethodType.SELMTD_VIEW_ITEM
18: JPT.SelectMethodType.SELMTD_CONDITION_MPC
19: JPT.SelectMethodType.SELMTD_CONDITION_RBE2
20: JPT.SelectMethodType.SELMTD_CONDITION_RBE3
21: JPT.SelectMethodType.SELMTD_CONDITION_RBAR
22: JPT.SelectMethodType.SELMTD_CONDITION_SPRING
23: JPT.SelectMethodType.SELMTD_CONDITION_MASS
24: JPT.SelectMethodType.SELMTD_CONDITION_CONNECTOR
25: JPT.SelectMethodType.SELMTD_CONDITION_PRESSURE
26: JPT.SelectMethodType.SELMTD_CONDITION_FORCE
27: JPT.SelectMethodType.SELMTD_CONDITION_ENFORCE
28: JPT.SelectMethodType.SELMTD_CONDITION_CONSTRAIN
29: JPT.SelectMethodType.SELMTD_CONDITION_TEMP
30: JPT.SelectMethodType.SELMTD_SOLID_TET4
31: JPT.SelectMethodType.SELMTD_SOLID_TET10
32: JPT.SelectMethodType.SELMTD_SOLID_HEX8
33: JPT.SelectMethodType.SELMTD_SOLID_HEX20
34: JPT.SelectMethodType.SELMTD_SOLID_PENT6
35: JPT.SelectMethodType.SELMTD_SOLID_PEN15
36: JPT.SelectMethodType.SELMTD_SOLID_PYRD5
37: JPT.SelectMethodType.SELMTD_SOLID_PYR13
38: JPT.SelectMethodType.SELMTD_SHELL_TRI3
39: JPT.SelectMethodType.SELMTD_SHELL_TRI6
40: JPT.SelectMethodType.SELMTD_SHELL_QUAD4
41: JPT.SelectMethodType.SELMTD_SHELL_QUAD8
