0: JPT.UnitType.Unit_Length
1: JPT.UnitType.Unit_Time
2: JPT.UnitType.Unit_Mass
3: JPT.UnitType.Unit_Force
4: JPT.UnitType.Unit_Angle
5: JPT.UnitType.Unit_Temperature
6: JPT.UnitType.Unit_Area
7: JPT.UnitType.Unit_Volume
8: JPT.UnitType.Unit_Velocity
9: JPT.UnitType.Unit_Acceleration
10: JPT.UnitType.Unit_RotateVelo
11: JPT.UnitType.Unit_RotateAcc
12: JPT.UnitType.Unit_Moment
13: JPT.UnitType.Unit_Pressure
14: JPT.UnitType.Unit_Density
15: JPT.UnitType.Unit_Stiffness
16: JPT.UnitType.Unit_RotateStiff
17: JPT.UnitType.Unit_DampingCoef
18: JPT.UnitType.Unit_RotateDampingCoef
19: JPT.UnitType.Unit_Modulus
20: JPT.UnitType.Unit_Energy
21: JPT.UnitType.Unit_Power
22: JPT.UnitType.Unit_ThermalExCoef
23: JPT.UnitType.Unit_ThermalConductivity
24: JPT.UnitType.Unit_ConvectionCoef
25: JPT.UnitType.Unit_SpecificHeat
26: JPT.UnitType.Unit_HeatFlux
27: JPT.UnitType.Unit_HeatGeneration
28: JPT.UnitType.Unit_LinearDensity
29: JPT.UnitType.Unit_SurfaceDensity
30: JPT.UnitType.Unit_AreaMomentInertia
31: JPT.UnitType.Unit_TorsionalConst
32: JPT.UnitType.Unit_WarpCoef
33: JPT.UnitType.Unit_LinearMassMomentIntertia
34: JPT.UnitType.Unit_MomentInertia
35: JPT.UnitType.Unit_Stress
36: JPT.UnitType.Unit_Strain
37: JPT.UnitType.Unit_StrainEnergy
38: JPT.UnitType.Unit_ThermalEnergy
39: JPT.UnitType.Unit_Frequency
40: JPT.UnitType.Unit_VolumeEnergyDensity
41: JPT.UnitType.Unit_ElectricalResistivity
42: JPT.UnitType.Unit_StressReciprocal
43: JPT.UnitType.Unit_ThermalRadiation
44: JPT.UnitType.Unit_Displacement
45: JPT.UnitType.Unit_EnergyDensity
46: JPT.UnitType.Unit_TemperatureGradient
47: JPT.UnitType.Unit_Current
48: JPT.UnitType.Unit_Voltage
49: JPT.UnitType.Unit_CurrentDensity
50: JPT.UnitType.Unit_ElectricalConductivity
51: JPT.UnitType.Unit_MagneticPotential
52: JPT.UnitType.Unit_SurfaceCurrentDensity
